Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
TRANSIENT,Transparent,Fleeting,Feeble,Fanciful,Fleeting,
BARE,Uncovered,Tolerate,Clear,Neat,Uncovered,
REPEAL,Sanction,Perpetuate,Pass,Cancel,Cancel,
SALACITY,Bliss,Depression,Indecency,Recession,Indecency,
ECSTATIC,Animated,Bewildered,Enraptured,Illful,Enraptured,
ADMONISH,Punish,Curse,Dismiss,Reprimand,Reprimand,
DILIGENT,Progressive,Brilliant,Inventive,Hard-working,Hard-working,
PIOUS,Pure,Pretentious,Clean,Devout,Devout,
BROWSE,Heal,Deceive,Examine,Strike,Examine,
INFREQUENT,Never,Usual,Rare,Sometimes,Rare,
RESTRAINT,Hindrance,Repression,Obstacle,Restriction,Restriction,
DEIFY,Flatter,Challenge,Worship,Face,Worship,
HARBINGER,Messenger,Steward,Forerunner,Pilot,Forerunner,
VENUE,Place,Agenda,Time,Duration,Place,
CANDID,Apparent,Explicit,Frank,Bright,Frank,
MELD,To soothe,Merge,Purchase,Glisten,Merge,
LYNCH,Hang,Madden,Kill,Shoot,Kill,
TORTURE,Torment,Chastisement,Harassment,Terror,Torment,
ABUNDANT,Ripe,Cheap,Plenty,Absent,Plenty,
ENTIRE,Part,Quarter,Whole,Half,Whole,
DESTITUTION,Humility,Moderation,Poverty,Beggary,Poverty,
WRETCHED,Poor,Foolish,Insane,Strained,Poor,
INTIMIDATE,To hint,Frighten,Bluff,Harass,Frighten,
CANTANKEROUS,Quarrelsome,Rash,Disrespectful,Noisy,Quarrelsome,
RANT,Praise inordinately,Formalise,To preach noisily,Treat with screen,To preach noisily,
ZANY,Clown,Pet,Thief,Magician,Clown,
TACITURNITY,Dumbness,Changeablemess,Hesitation,Reserve,Reserve,
MASSACRE,Murder,Stab,Assassinate,Slaughter,Slaughter,
KEN,Ignorance,Witness,Trial,Knowledge,Knowledge,
WARY,Sad,vigilant,Distorted,Tired,vigilant,
RABBLE,Mob,Noise,Roar,Rubbish,Mob,
MAYHEM,Jubilation,Havoc,Excitement,Defeat,Havoc,
PONDER,Think,Evaluate,Anticipate,Increase,Think,
CONNOISSEUR,Ignorant,Lover of art,Interpreter,Delinquent,Lover of art,
SHIVER,Feel,Rock,Tremble,Move,Tremble,
PRESTIGE,Influence,Quality,Name,Wealth,Name,
INSOMNIA,Lethargy,Sleeplessness,Drunkenness,Unconsciousness,Sleeplessness,
LAUD,Lord,Eulogy,Praise,Extolled,Praise,
REPERCUSSION,Clever reply,Recollection,Remuneration,Reaction,Reaction,
IMPROMPTU,Offhand,Unimportant,Unreal,Effective,Offhand,
FRUGALITY,Foolishness,Extremity,Enthusiasm,Economy,Economy,
CORRESPONDENCE,Agreements,Contracts,Documents,Letters,Letters,
ASCEND,Leap,Grow,Deviate,Mount,Mount,
FURORE,Excitement,Worry,Flux,Anteroom,Excitement,
SYNOPSIS,Index,Mixture,Summary,Puzzles,Summary,
TURN UP,Land up,Show up,Crop up,Come up,Show up,
VIGOUR,Strength,Boldness,Warmth,Enthusism,Strength,
GARNISH,Paint,Garner,Adorn,Abuse,Adorn,
MENDACIOUS,Full of Confidence,False,Encouraging,Provocative,False,
GARRULITY,Credulity,Senility,Loquaciousness,Speciousness,Loquaciousness,
MOROSE,Annoyed,Gloomy,Moody,Displeased,Gloomy,
VORACIOUS,Truthful,Gluttonous,Funny,Venturous,Gluttonous,
AWAKENED,Enlightened,Realised,Shook,Waken,Waken,
GRATIFY,Appreciate,Frank,Indulge,Pacify,Indulge,
PRECARIOUS,Cautious,Critical,Perilous,Brittle,Perilous,
INFAMY,Dishonour,Glory,Integrity,Reputation,Dishonour,
MASTERLY,Crafty,Skilful,Meaningful,Cruel,Skilful,
SCINTILLATING,Smouldering,Glittering,Touching,Warming,Glittering,
TEPID,Hot,Warm,Cold,Boiling,Warm,
UNITE,Unfold,Unchain,Combine,Unhinge,Combine,
COMBAT,Conflict,Quarrel,Feud,Fight,Fight,
REFECTORY,Restaurant,Parlour,Living Room,Dining Room,Dining Room,
UNCOUTH,Ungraceful,Rough,Slovenly,Dirty,Rough,
ERROR,Misadventure,Misgiving,Ambiguity,Blunder,Blunder,
COMMENSURATE,Measurable,Proportionate,Begining,Appropriate,Proportionate,
DEBACLE,Collapse,Decline,Defeat,Disgrace,Collapse,
GERMANE,Responsible,Logical,Possible,Relevant,Relevant,
DISTINCTION,Diffusion,Disagreement,Different,Degree,Different,
